prod_id,prod_name,customer_review,customer_rating
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Very Good,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Good choice,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Classy product,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Awesome,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Worth the money,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Mind-blowing purchase,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Highly recommended,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Just wow!,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Perfect product!,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Terrific purchase,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Very Good,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Pretty good,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Really Nice,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Terrific,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Mind-blowing purchase,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Delightful,4.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Wonderful,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Perfect product!,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Classy product,5.0
itm1b3dcca8a2456,MUUCHSTAC OCEAN MEN FIGHTS ACNE PIMPLE BRIGHTEN SKIN ALL SKIN TYPES FACE WASH,Good choice,4.0
