prod_id,prod_name,customer_review,customer_rating
A1,Home_and_Kitchen_5,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",5
A2,Home_and_Kitchen_5,"love it, a great upgrade from the original.  I've had mine for a couple of years",5
A3,Home_and_Kitchen_5,This pillow saved my back. I love the look and feel of this pillow.,5
A4,Home_and_Kitchen_5,"Missing information on how to use it, but it is a great product for the price!  I",1
A5,Home_and_Kitchen_5,Very nice set. Good quality. We have had the set for two months now and have not been,5
A6,Home_and_Kitchen_5,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,3
A7,Home_and_Kitchen_5,They are the perfect touch for me and the only thing I wish they had a little more space.,5
A8,Home_and_Kitchen_5,These done fit well and look great.  I love the smoothness of the edges and the extra,3
A9,Home_and_Kitchen_5,"Great big numbers & easy to read, the only thing I didn't like is the size of the",5
A10,Home_and_Kitchen_5,My son loves this comforter and it is very well made.  We also have a baby,5
A11,Home_and_Kitchen_5,As advertised. 5th one I've had. The only problem is that it's not really a,5
A12,Home_and_Kitchen_5,Very handy for one of my kids and the tools are included in the package. I have one in,5
A13,Home_and_Kitchen_5,"Did someone say, ""Oriental for $60""?  It is a great product for the",5
A14,Home_and_Kitchen_5,These are so flimsy! They are not the quality you would expect from a piece of furniture.,1
A15,Home_and_Kitchen_5,Makes may tea with out stirring. The only problem is that it's kind of hard to put,5
A16,Home_and_Kitchen_5,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,5
A17,Home_and_Kitchen_5,Love this!  Perfect size for an entire family!Very good quality.,5
A18,Home_and_Kitchen_5,These look beautiful and so nice. The only problem is that it's not really a mesh one.,5
A19,Home_and_Kitchen_5,Exactly what you would expect. I love the look and feel of this pillow.,5
A20,Home_and_Kitchen_5,"10 Stars, I would highly recommend this item. We love this blanket.",5
A21,Home_and_Kitchen_5,Great little egg masher.  We have had it for a few months now and it's been,5
A22,Home_and_Kitchen_5,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",5
A23,Home_and_Kitchen_5,it is exactly as pictured. I love the look and feel of this pillow.,5
A24,Home_and_Kitchen_5,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",5
A25,Home_and_Kitchen_5,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",5
A26,Home_and_Kitchen_5,Easy to use. Seems to be an easy way to make a smoothie for a small person.,5
A27,Home_and_Kitchen_5,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,2
A28,Home_and_Kitchen_5,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",5
A29,Home_and_Kitchen_5,So good we bought the second set and they look just like the first one. I am not sure,5
A30,Home_and_Kitchen_5,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,5
A31,Home_and_Kitchen_5,Received in no time flat.  I love the look.  My husband likes it too.,5
A32,Home_and_Kitchen_5,These are okay they are not as nice as the ones I got from my local store but they are,3
A33,Home_and_Kitchen_5,gave them away - thought it would be a good addition to my kitchen!  I am very,3
A34,Home_and_Kitchen_5,"Product is fine, wish it had an option to have a separate handle.",4
A35,Home_and_Kitchen_5,"Awesome is all I have to say, the materials are good, and the quality is decent.",5
A36,Home_and_Kitchen_5,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,3
A37,Home_and_Kitchen_5,"Well made, works great.  We have had the wooden part of the cup for a couple of",5
A38,Home_and_Kitchen_5,Bought these to go with my old suction cups. I also love that they are removable and,5
A39,Home_and_Kitchen_5,Just as expected! Looks great and has the design to make it a nice place for the baby to,5
